candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
46459,11423,large,400,200,40.71652001839596,-73.76787133756481
46716,11426,large,400,200,40.72605781389104,-73.71952162914008
46744,11426,large,400,200,40.72911871278245,-73.71430006700116
46746,11426,large,400,200,40.724991657929735,-73.71696510780303
46748,11426,large,400,200,40.73598261684529,-73.72199601758525
46801,11427,large,400,200,40.729613979323176,-73.75844872647657
46816,11427,large,400,200,40.72157056273227,-73.73966970157312
46834,11427,large,400,200,40.72808161613997,-73.74089112215047
46852,11427,large,400,200,40.73754514817124,-73.74398847882593
46865,11427,large,400,200,40.73332087364126,-73.74560903423497
46881,11427,large,400,200,40.736307431480334,-73.74605407764791
46929,11428,large,400,200,40.71223021994986,-73.73700903384454
46946,11428,large,400,200,40.72927569826117,-73.7344875801196
46965,11428,large,400,200,40.71652397591641,-73.73732779426774
47000,11429,large,400,200,40.71314476493078,-73.74485320589652
47021,11429,large,400,200,40.70355017116205,-73.73434382664193
47088,11429,large,400,200,40.71783123292475,-73.74508441630408
47089,11429,large,400,200,40.71331614381214,-73.73588859437518
47199,11430,small,100,50,40.64005226529984,-73.78380141010004
47304,11432,large,400,200,40.72077933830781,-73.79793242907283
47310,11432,large,400,200,40.70764065250776,-73.80281445953722
47317,11432,large,400,200,40.7213185098864,-73.78940760688162
47324,11432,large,400,200,40.703728942843256,-73.79935974242169
47330,11432,large,400,200,40.72176023892317,-73.80051410698576
47338,11432,large,400,200,40.717377008295216,-73.80133686176279
47349,11432,large,400,200,40.7199481015688,-73.78587358706669
47356,11432,large,400,200,40.70864969329467,-73.78745473935165
47363,11432,large,400,200,40.70854809799442,-73.8007195995843
47370,11432,large,400,200,40.70600409694404,-73.79028345110756
47376,11432,large,400,200,40.70295150889248,-73.79298880314137
47386,11432,large,400,200,40.72118135311997,-73.78573333598587
47391,11432,large,400,200,40.714650427155085,-73.80256025449616
47406,11433,large,400,200,40.68833003239412,-73.79557673115256
47407,11433,large,400,200,40.68937562945957,-73.78925284582327
47410,11433,large,400,200,40.704879453155286,-73.78044882510868
47411,11433,large,400,200,40.7000417534689,-73.79429813910927
47415,11433,large,400,200,40.68719632765705,-73.79712412443229
47425,11433,large,400,200,40.694095067897294,-73.78359713063709
47438,11433,large,400,200,40.68873297446183,-73.78589876818064
47446,11433,large,400,200,40.69627406086546,-73.78620368951402
47506,11434,large,400,200,40.673419502566766,-73.77140519991143
47507,11434,large,400,200,40.679067394023946,-73.7842506535323
47510,11434,large,400,200,40.68178688827306,-73.78555710710239
47513,11434,large,400,200,40.68686513830392,-73.76708569336839
47515,11434,large,400,200,40.67822008253799,-73.78389018111798
47531,11434,large,400,200,40.67328560352252,-73.76923100894574
47532,11434,large,400,200,40.67885029958055,-73.78083989629489
47533,11434,large,400,200,40.674694196488446,-73.77827557536709
47534,11434,large,400,200,40.677400686420754,-73.76737198144336
47535,11434,large,400,200,40.67197376320226,-73.7813612719164
47560,11434,large,400,200,40.67470518435484,-73.78317441165984
47561,11434,large,400,200,40.68211658172047,-73.76672528568082
47562,11434,large,400,200,40.685602268843446,-73.77034578155951
47601,11435,large,400,200,40.69858238906787,-73.8084735058386
47615,11435,large,400,200,40.70768286219612,-73.81993361926372
47626,11435,large,400,200,40.70900661500188,-73.80999951031835
47634,11435,large,400,200,40.71181290667138,-73.81231309127693
47639,11435,large,400,200,40.70873762262151,-73.80480556944921
47649,11435,large,400,200,40.70631891728114,-73.80387001021971
47653,11435,large,400,200,40.703536945238405,-73.80619882262083
47658,11435,large,400,200,40.70124434264528,-73.81530181693938
47664,11435,large,400,200,40.71042390996748,-73.80894002624825
47671,11435,large,400,200,40.69369779444971,-73.81415896105221
47677,11435,large,400,200,40.699534022106135,-73.8014243940526
47681,11435,large,400,200,40.69767704098216,-73.81439755724314
47682,11435,large,400,200,40.699949010473695,-73.80922797217578
47688,11435,large,400,200,40.70215149467967,-73.80437350115982
47692,11435,large,400,200,40.700181748935215,-73.81056541824546
47734,11436,large,400,200,40.66633384769106,-73.78800426942665
47739,11436,large,400,200,40.68436832642697,-73.79572727662182
47770,11436,large,400,200,40.67730352711133,-73.79990032061794
48362,11507,large,400,200,40.76495444467094,-73.65773959978486
48485,11509,medium,200,100,40.59632048966012,-73.73346481752804
48505,11510,large,400,200,40.65839852971884,-73.61359760317737
48530,11510,large,400,200,40.64571538034532,-73.61445669943295
48553,11510,large,400,200,40.66418272087181,-73.60069444754485
48657,11514,small,100,50,40.74378690517825,-73.60609245794076
48701,11516,large,400,200,40.61811375200316,-73.73352153607564
48930,11520,large,400,200,40.65816285665097,-73.5832605222692
48953,11520,large,400,200,40.64513845331223,-73.57669149706084
48955,11520,large,400,200,40.644829616714645,-73.59510252219701
48956,11520,large,400,200,40.65444905284071,-73.5885320748165
49003,11530,large,400,200,40.71978447725886,-73.6577028417565
49030,11530,large,400,200,40.730154985305695,-73.64243993809319
49064,11530,large,400,200,40.73421379605331,-73.64018360664296
49492,11547,small,100,50,40.82238075761522,-73.64242625865435
